,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
113,1,Brasil,30,Número-índice,105.04,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
114,1,Brasil,30,Número-índice,101.94,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
115,1,Brasil,30,Número-índice,101.47,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
116,1,Brasil,30,Número-índice,116.34,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
117,1,Brasil,30,Número-índice,102.95,1,Brasil,199901,1º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
118,1,Brasil,30,Número-índice,113.95,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
119,1,Brasil,30,Número-índice,100.06,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
120,1,Brasil,30,Número-índice,108.04,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
121,1,Brasil,30,Número-índice,106.25,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
122,1,Brasil,30,Número-índice,105.10,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
