data,variavel,grupo,ipca_acum_ano
2020-01-01,IPCA % acum. ano,3101016.Móvel infantil,-1.84
2020-01-01,IPCA % acum. ano,3101017.Colchão,-0.84
2020-01-01,IPCA % acum. ano,3102.Utensílios e enfeites,0.28
2020-01-01,IPCA % acum. ano,3102001.Artigos de iluminação,0.08
2020-01-01,IPCA % acum. ano,3102005.Tapete,-0.62
2020-01-01,IPCA % acum. ano,3102006.Cortina,0.41
2020-01-01,IPCA % acum. ano,3102007.Utensílios de metal,0.82
2020-01-01,IPCA % acum. ano,3102009.Utensílios de vidro e louça,-0.4
2020-01-01,IPCA % acum. ano,3102010.Utensílios de plástico,-0.54
2020-01-01,IPCA % acum. ano,3102035.Flores naturais,-0.62
2020-01-01,IPCA % acum. ano,3102337.Utensílios para bebê,1.5
2020-01-01,IPCA % acum. ano,"3103.Cama, mesa e banho",-0.23
2020-01-01,IPCA % acum. ano,3103001.Roupa de cama,-0.21
2020-01-01,IPCA % acum. ano,3103003.Roupa de banho,-0.8
2020-01-01,IPCA % acum. ano,32.Aparelhos eletroeletrônicos,0.02
2020-01-01,IPCA % acum. ano,3201.Eletrodomésticos e equipamentos,-0.38
2020-01-01,IPCA % acum. ano,3201001.Refrigerador,-0.63
2020-01-01,IPCA % acum. ano,3201002.Ar-condicionado,-0.88
2020-01-01,IPCA % acum. ano,3201006.Máquina de lavar roupa,-1.44
2020-01-01,IPCA % acum. ano,3201013.Ventilador,0.26
2020-01-01,IPCA % acum. ano,3201021.Fogão,1.87
2020-01-01,IPCA % acum. ano,3201050.Chuveiro elétrico,0.64
2020-01-01,IPCA % acum. ano,"3202.Tv, som e informática",0.5
2020-01-01,IPCA % acum. ano,3202001.Televisor,1.35
2020-01-01,IPCA % acum. ano,3202003.Aparelho de som,-0.87
2020-01-01,IPCA % acum. ano,3202008.Videogame (console),2.33
2020-01-01,IPCA % acum. ano,3202028.Computador pessoal,-0.72
2020-01-01,IPCA % acum. ano,33.Consertos e manutenção,0.15
2020-01-01,IPCA % acum. ano,3301.Consertos e manutenção,0.15
2020-01-01,IPCA % acum. ano,3301002.Conserto de refrigerador,0.58
2020-01-01,IPCA % acum. ano,3301006.Conserto de televisor,-0.6
2020-01-01,IPCA % acum. ano,3301015.Conserto de máquina de lavar roupa,1.03
2020-01-01,IPCA % acum. ano,3301022.Reforma de estofado,-0.01
2020-01-01,IPCA % acum. ano,3301088.Conserto de aparelho celular,-0.07
2020-01-01,IPCA % acum. ano,3301130.Conserto de bicicleta,0.21
2020-01-01,IPCA % acum. ano,4.Vestuário,-0.48
2020-01-01,IPCA % acum. ano,41.Roupas,-0.64
2020-01-01,IPCA % acum. ano,4101.Roupa masculina,-0.36
2020-01-01,IPCA % acum. ano,4101002.Calça comprida masculina,0.8
2020-01-01,IPCA % acum. ano,4101005.Agasalho masculino,-1.38
2020-01-01,IPCA % acum. ano,4101006.Bermuda/short masculino,0.12
2020-01-01,IPCA % acum. ano,4101008.Cueca,-0.98
2020-01-01,IPCA % acum. ano,4101009.Camisa/camiseta masculina,-1.06
2020-01-01,IPCA % acum. ano,4102.Roupa feminina,-1.19
2020-01-01,IPCA % acum. ano,4102002.Calça comprida feminina,-2.13
2020-01-01,IPCA % acum. ano,4102003.Agasalho feminino,-1.07
2020-01-01,IPCA % acum. ano,4102004.Saia,-0.49
2020-01-01,IPCA % acum. ano,4102005.Vestido,-0.37
2020-01-01,IPCA % acum. ano,4102008.Blusa,-1.24
2020-01-01,IPCA % acum. ano,4102010.Lingerie,-0.82
2020-01-01,IPCA % acum. ano,4102013.Bermuda/short feminino,-0.67
2020-01-01,IPCA % acum. ano,4103.Roupa infantil,0.08
2020-01-01,IPCA % acum. ano,4103001.Uniforme escolar,1.58
2020-01-01,IPCA % acum. ano,4103002.Calça comprida infantil,-0.89
2020-01-01,IPCA % acum. ano,4103005.Agasalho infantil,-0.07
2020-01-01,IPCA % acum. ano,4103007.Vestido infantil,-0.69
2020-01-01,IPCA % acum. ano,4103008.Bermuda/short infantil,0.1
2020-01-01,IPCA % acum. ano,4103011.Camisa/camiseta infantil,0.05
2020-01-01,IPCA % acum. ano,4103031.Conjunto infantil,0.06
2020-01-01,IPCA % acum. ano,42.Calçados e acessórios,-0.26
2020-01-01,IPCA % acum. ano,4201.Calçados e acessórios,-0.26
2020-01-01,IPCA % acum. ano,4201002.Sapato masculino,-0.71
2020-01-01,IPCA % acum. ano,4201003.Sapato feminino,-0.48
2020-01-01,IPCA % acum. ano,4201004.Sapato infantil,-1.79
2020-01-01,IPCA % acum. ano,4201015.Bolsa,-0.06
2020-01-01,IPCA % acum. ano,4201040.Mochila,-0.96
